fips,feat,event_name,event_date,event_date_centered,target_before,target_diff_actual,target_diff_expected,intervention_effect,intervention_percent,neighbor_count,matched_diff_avg,matched_diff_std,change_in_stddevs,significant,cfips,mmwr_week,pblack,pfem,p65old,phisp,unemployment_rate_2018,ses,year,time,nw_var_2019,svar,lnurban,repvshare,ses3,anx_z,dep_z,ang_z
29077,Anxiety,First Covid Death,2020-03-24,2020-03-22,0.7637146036229561,-0.23187052504687466,0.8821203063361849,-0.3502762277601035,-39.71,1,0.11840570271322887,0.0,-inf,True,29077,12.0,4.317006587982178,51.27761459350586,7.505006313323975,3.3251233100891113,2.599999999999998,0.3924194276332855,2019.5047619047618,0.9965776889629308,0.13119415938854218,0.13547681272029877,2.2163689136505127,58.97743225097656,2,-0.09786009846166485,0.01648846819069669,-0.20271178979337925
29077,Depression,First Covid Death,2020-03-24,2020-03-22,0.6272000214972644,-0.15211785095645458,0.8990272368833226,-0.42394506634251283,-47.16,1,0.27182721538605825,0.0,-inf,True,29077,12.0,4.317006587982178,51.27761459350586,7.505006313323975,3.3251233100891113,2.599999999999998,0.3924194276332855,2019.5047619047618,0.9965776889629308,0.13119415938854218,0.13547681272029877,2.2163689136505127,58.97743225097656,2,-0.09786009846166485,0.01648846819069669,-0.20271178979337925
12069,Anxiety,First Covid Death,2020-04-02,2020-03-29,0.6763476168602984,-0.17339363589157175,0.6396500750589352,-0.13669609409020855,-21.37,6,-0.036697541801363164,0.19688128919636358,-1.042643215157524,False,12069,43.0,11.572549819946289,51.60111618041992,12.7484712600708,13.71021842956543,3.5,0.34370458126068115,2019.5047619047618,0.9965776889629308,0.21410705149173737,0.20175303518772125,1.7950166463851929,59.5601806640625,2,-0.012994479257169934,0.04910052817320407,0.016136875560152388
12069,Depression,First Covid Death,2020-04-02,2020-03-29,0.4530847229126032,-0.01568455728886492,0.5994990865166012,-0.16209892089286293,-27.04,6,0.146414363603998,0.18321520080236195,-1.5480459398963533,False,12069,43.0,11.572549819946289,51.60111618041992,12.7484712600708,13.71021842956543,3.5,0.34370458126068115,2019.5047619047618,0.9965776889629308,0.21410705149173737,0.20175303518772125,1.7950166463851929,59.5601806640625,2,-0.012994479257169934,0.04910052817320407,0.016136875560152388
22055,Anxiety,First Covid Death,2020-03-28,2020-03-22,0.6014958989706123,0.22444419754038925,0.49427251114919735,0.3316675853618042,67.1,2,-0.10722338782141494,0.006578008113116596,2.8885509406358105,True,22055,47.0,27.011045455932617,51.19872283935547,5.670318603515625,4.284032344818115,4.5,0.41554561257362366,2019.5047619047618,0.9965776889629308,0.3228801488876343,-0.49372532963752747,2.9370980262756348,63.32375717163086,2,-0.003457075131258794,-0.04169199395969155,0.11738771507516503
22055,Depression,First Covid Death,2020-03-28,2020-03-22,0.2479930116972539,0.6133422439494063,0.5034332888444721,0.3579019668021881,71.09,3,0.25544027714721823,0.1234984929280206,2.1442409540479987,True,22055,47.0,27.011045455932617,51.19872283935547,5.670318603515625,4.284032344818115,4.5,0.41554561257362366,2019.5047619047618,0.9965776889629308,0.3228801488876343,-0.49372532963752747,2.9370980262756348,63.32375717163086,2,-0.003457075131258794,-0.04169199395969155,0.11738771507516503
17113,Anxiety,First Covid Death,2020-03-22,2020-03-15,0.05173949583661487,0.15538833061579244,0.3380652373886824,-0.1309374109362751,-38.73,6,0.2863257415520675,0.0740106637901667,-1.4744604160986436,False,17113,11.0,9.030531883239746,51.394378662109375,5.644848346710205,4.631493091583252,4.199999999999992,0.8926746249198914,2019.5047619047618,0.9965776889629308,0.02507663704454899,0.06343493610620499,1.1608200073242188,46.55295181274414,3,-0.22188197627574915,-0.14168948079902857,-0.2719959513084697
17113,Depression,First Covid Death,2020-03-22,2020-03-15,0.12199532582733699,0.16061164844883155,0.43498773928092016,-0.15238076500475162,-35.03,6,0.31299241345358314,0.20787128060177187,-1.0718096644288098,False,17113,11.0,9.030531883239746,51.394378662109375,5.644848346710205,4.631493091583252,4.199999999999992,0.8926746249198914,2019.5047619047618,0.9965776889629308,0.02507663704454899,0.06343493610620499,1.1608200073242188,46.55295181274414,3,-0.22188197627574915,-0.14168948079902857,-0.2719959513084697
55133,Anxiety,First Covid Death,2020-03-31,2020-03-29,0.6980375449093077,0.09213924139433738,0.595961101997743,0.19421568430590208,32.59,3,-0.10207644291156472,0.07893819734214773,2.9957430763503905,True,55133,17.0,1.9148297309875488,50.87237548828125,8.038372039794922,4.420976161956787,2.6999999999999944,1.7659944295883179,2019.5047619047618,0.9965776889629308,0.0006892658420838416,-0.0028619454242289066,2.7053143978118896,59.5714111328125,3,-0.3330141888953568,-0.2035921304847025,-0.2690157775900194
55133,Depression,First Covid Death,2020-03-31,2020-03-29,0.3290317433785289,0.026773113470820398,0.29627515088247797,0.05952970596687135,20.09,3,-0.03275659249605095,0.09649349417566609,0.8823966253201196,False,55133,17.0,1.9148297309875488,50.87237548828125,8.038372039794922,4.420976161956787,2.6999999999999944,1.7659944295883179,2019.5047619047618,0.9965776889629308,0.0006892658420838416,-0.0028619454242289066,2.7053143978118896,59.5714111328125,3,-0.3330141888953568,-0.2035921304847025,-0.2690157775900194
